appId,categories,team_size,total_changes,over_permissions,overages
168,Science & Education,2,16,,0
169,Games,1,13,,0
170,Navigation,1,6,,0
171,Multimedia,2,89,,0
173,"Office,Science & Education",1,9,,0
174,Reading,2,76,"android.permission.WRITE_EXTERNAL_STORAGE
",1
176,Internet,4,814,"android.permission.ACCESS_NETWORK_STATE
;android.permission.ACCESS_WIFI_STATE
;android.permission.CHANGE_NETWORK_STATE
;android.permission.CHANGE_WIFI_MULTICAST_STATE
;android.permission.CHANGE_WIFI_STATE
;android.permission.INTERNET
;android.permission.SET_WALLPAPER
;android.permission.VIBRATE
;android.permission.WAKE_LOCK
;android.permission.WRITE_EXTERNAL_STORAGE
;android.permission.WRITE_SETTINGS
;android.permission.READ_PHONE_STATE
",12
177,Office,2,55,"android.permission.WRITE_EXTERNAL_STORAGE
",1
179,Reading,5,26,"android.permission.SYSTEM_ALERT_WINDOW
",1
181,Science & Education,1,6,,0
182,System,6,270,,0
183,Internet,31,903,"android.permission.INTERNET
",1
184,Office,8,197,,0
186,"Office,Reading",1,20,,0
187,System,1,40,"android.permission.SYSTEM_ALERT_WINDOW
",1
188,Phone & SMS,18,890,,0
189,System,19,1093,"android.permission.READ_PHONE_STATE
;android.permission.DEVICE_POWER
;android.permission.GET_TASKS
;android.permission.BLUETOOTH
;android.permission.ACCESS_SUPERUSER
",5
190,System,3,76,"android.permission.ACCESS_NETWORK_STATE
;android.permission.ACCESS_WIFI_STATE
",2
191,Multimedia,1,5,,0
192,Science & Education,5,202,"android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
",1
193,Development,1,44,,0
194,Office,4,134,,0
195,Multimedia,1,422,"android.permission.ACCESS_PROVIDER
",1
196,Internet,6,376,,0
197,Office,6,64,"android.permission.CAMERA
",1
198,Phone & SMS,1,45,"android.permission.ACCESS_NETWORK_STATE
;android.permission.CHANGE_NETWORK_STATE
",2
199,Games,1,14,,0
200,Internet,1,24,"android.permission.INTERNET
",1
201,Internet,5,64,"android.permission.ACCESS_SUPERUSER
;android.permission.WRITE_EXTERNAL_STORAGE
",2
203,":Games,Mathematics",4,35,"android.permission.WRITE_EXTERNAL_STORAGE
",1
204,"Security,Internet",2,12,,0
205,Internet,2,7,,0
206,Multimedia,1,82,,0
207,System,2,68,,0
208,Office,2,14,,0
209,Office,8,1967,,0
210,Navigation,1,49,"android.permission.ACCESS_MOCK_LOCATION
",1
211,Reading,4,77,"android.permission.ACCESS_WIFI_STATE
",1
213,System,2,8,"android.permission.READ_PHONE_STATE
",1
215,Multimedia,2,40,"android.permission.READ_EXTERNAL_STORAGE
",1
216,Navigation,1,5,,0
217,System,4,117,"android.permission.NFC
",1
218,Office,4,117,,0
219,Internet,6,35,"android.permission.GET_ACCOUNTS
",1
221,System,4,218,"android.permission.ACCESS_SUPERUSER
",1
222,Multimedia,5,163,"android.permission.READ_EXTERNAL_STORAGE
",1
224,Multimedia,1,63,,0
227,Office,2,29,,0
228,Internet,5,533,"android.permission.READ_SYNC_SETTINGS
;android.permission.USE_CREDENTIALS
",2
229,Office,1,30,,0
230,Games,10,518,,0
231,System,1,37,"android.permission.ACCESS_SUPERUSER
",1
232,Internet,39,1138,"android.permission.READ_EXTERNAL_STORAGE
;android.permission.READ_PROFILE
",2
233,Office,1,12,,0
234,Internet,9,969,"android.permission.READ_EXTERNAL_STORAGE
",1
235,Navigation,3,67,"android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
;android.permission.COARSE_FINE_LOCATION
",2
236,System,2,57,,0
237,Multimedia,30,1574,,0
238,Office,5,72,"android.permission.INTERNET
",1
240,Multimedia,1,13,,0
241,Security,1,93,"android.permission.READ_EXTERNAL_STORAGE
",1
242,System,1,24,,0
244,"Office,Science & Education",1,5,,0
245,Games,1,3,,0
246,System,14,92,,0
248,Games,6,1219,,0
250,Navigation,1,31,,0
251,"Internet,Security",6,106,"android.permission.WRITE_EXTERNAL_STORAGE
",1
252,Office,1,1,,0
253,Games,1,6,,0
254,Navigation,1,32,"android.permission.ACCESS_LOCATION
;android.permission.INTERNET
;android.permission.ACCESS_NETWORK_STATE
;android.permission.WRITE_EXTERNAL_STORAGE
",4
255,Security,3,113,,0
256,Office,17,714,,0
257,Development,2,39,"android.permission.ACCESS_WIFI_STATE
",1
262,System,3,12,"android.permission.NFC
",1
264,Navigation,33,443,"android.permission.CHANGE_NETWORK_STATE
;android.permission.READ_SYNC_SETTINGS
",2
265,Games,175,14123,"android.permission.READ_EXTERNAL_STORAGE
;android.permission.ACCESS_NETWORK_STATE
;android.permission.INTERNET
",3
268,System,1,8,,0
269,"System,Security",5,472,"android.permission.ACCESS_SUPERUSER
",1
271,Development,7,448,"android.permission.ACCESS_SUPERUSER
;android.permission.READ_EXTERNAL_STORAGE
",2
273,Games,4,65,,0
274,Internet,23,909,,0
275,Office,2,75,"android.permission.INTERNET
",1
277,Development,22,1125,"android.permission.ACCESS_NETWORK_STATE
",1
279,System,2,76,"android.permission.NFC
",1
280,Games,7,37,,0
281,Office,1,5,,0
282,Navigation,1,14,"android.permission.ACCESS_MOCK_LOCATION
",1
283,Navigation,2,486,"android.permission.ACCESS_MOCK_LOCATION
",1
284,Science & Education,2,3,,0
288,Multimedia,3,37,,0
291,Office,2,24,,0
292,Office,1,47,,0
293,Multimedia,4,25,,0
294,System,9,1929,,0
295,Internet,7,289,,0
296,System,1,1,,0
298,Navigation,1,3,,0
299,Games,3,53,,0
300,Wallpaper,2,50,,0
301,System,1,11,,0
303,Games,1,76,,0
305,Office,33,1086,,0
306,System,2,136,,0
308,Office,4,153,"android.permission.ACCESS_WIFI_STATE
",1
309,"Office,System",4,45,,0
310,Internet,4,78,,0
312,Office,1,49,,0
313,Office,10,311,"android.permission.READ_EXTERNAL_STORAGE
",1
314,Games,1,4,,0
315,System,8,435,"android.permission.DISABLE_KEYGUARD
;android.permission.INTERNET
",2
316,Office,10,56,,0
317,Internet,153,5144,,0
318,Internet,8,304,,0
319,Phone & SMS,1,6,,0
320,Multimedia,2,77,"android.permission.ACCESS_NETWORK_STATE
;android.permission.ACCESS_WIFI_STATE
;android.permission.WAKE_LOCK
",3
321,Internet,3,25,,0
323,Multimedia,5,94,"android.permission.READ_EXTERNAL_STORAGE
",1
324,Science & Education,1,16,,0
325,Wallpaper,4,98,,0
326,Internet,2,268,"android.permission.USE_CREDENTIALS
;android.permission.READ_SYNC_SETTINGS
;android.permission.READ_SOCIAL_STREAM
;android.permission.WRITE_SOCIAL_STREAM
;android.permission.ACCESS_COARSE_LOCATION
;android.permission.READ_EXTERNAL_STORAGE
",6
327,Security,2,10,"android.permission.WRITE_EXTERNAL_STORAGE
;android.permission.ACCESS_SUPERUSER
",2
328,Office,6,1156,"android.permission.NFC
",1
329,Multimedia,1,4,"android.permission.READ_EXTERNAL_STORAGE
;android.permission.WRITE_EXTERNAL_STORAGE
",2
330,Reading,6,1679,"android.permission.NFC
",1
332,Internet,1,13,,0
333,Development,2,186,,0
334,Internet,17,812,"android.permission.CAMERA
;android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
",2
335,Development,3,258,"android.permission.INTERNET
",1
336,System,1,42,"android.permission.INTERNET
;android.permission.READ_EXTERNAL_STORAGE
;android.permission.WRITE_EXTERNAL_STORAGE
;android.permission.ACCESS_SUPERUSER
",4
337,Science & Education,2,171,,0
338,Games,2,239,,0
339,Reading,21,666,,0
340,System,1,98,,0
341,Games,6,51,,0
342,Reading,1,379,,0
343,Games,8,1476,,0
344,Internet,1,56,,0
345,Reading,13,712,"android.permission.NFC
",1
346,Multimedia,1,29,,0
348,Internet,5,33,,0
349,Games,2,310,,0
350,Phone & SMS,30,657,"android.permission.PROCESS_OUTGOING_CALLS
;android.permission.RECEIVE_BOOT_COMPLETED
;android.permission.GET_ACCOUNTS
;android.permission.RECEIVE_SMS
",4
351,Multimedia,2,438,,0
352,Office,1,7,,0
355,System,1,10,,0
356,Science & Education,1,2,,0
357,Navigation,4,54,,0
358,Office,5,172,"android.permission.ACCESS_NETWORK_STATE
",1
359,System,1,2,,0
360,Science & Education,1,458,,0
362,Office,29,569,,0
363,":News,Multimedia",2,12,,0
364,Multimedia,5,302,"android.permission.WRITE_SETTINGS
",1
365,"Office,Science & Education",1,11,,0
369,System,4,70,"android.permission.MODIFY_AUDIO_SETTINGS
",1
370,Navigation,3,150,"android.permission.ACCESS_COARSE_LOCATION
;android.permission.ACCESS_FINE_LOCATION
",2
371,Reading,16,85,"android.permission.ACCESS_MOCK_LOCATION
;android.permission.ACCESS_NETWORK_STATE
;android.permission.BLUETOOTH
;android.permission.RECEIVE_BOOT_COMPLETED
",4
373,Internet,19,372,"android.permission.READ_EXTERNAL_STORAGE
",1
374,Development,7,126,,0
375,Multimedia,2,92,,0
376,Development,8,888,,0
377,Navigation,1,18,,0
381,Office,1,30,,0
383,Internet,11,272,"android.permission.CHANGE_WIFI_STATE
",1
384,System,1,26,,0
387,Office,1,29,"android.permission.VIBRATE
",1
388,Office,5,507,,0
389,Office,1,4,,0
390,Games,2,76,,0
391,Office,1,905,,0
392,Internet,2,26,,0
393,Navigation,1,1,,0
397,Science & Education,9,462,,0
398,Internet,9,154,"android.permission.READ_CALENDAR
;android.permission.WRITE_CALENDAR
",2
399,Office,2,45,,0
400,Wallpaper,1,31,,0
401,Office,1,16,,0
405,Navigation,4,52,,0
407,Internet,5,383,"android.permission.NFC
",1
408,Multimedia,4,31,,0
409,Office,15,236,"android.permission.READ_EXTERNAL_STORAGE
",1
410,Multimedia,13,142,"android.permission.RECORD_AUDIO
",1
411,Science & Education,2,331,,0
412,"Internet,Security",2,38,,0
413,Multimedia,65,233,"android.permission.READ_PHONE_STATE
;android.permission.GET_TASKS
",2
415,Security,4,33,,0
416,System,1,36,,0
417,Security,2,10,,0
418,Office,3,5,"android.permission.DISABLE_KEYGUARD
",1
419,Games,3,14,"android.permission.FULLSCREEN
",1
420,Office,1,9,,0
421,Wallpaper,5,59,,0
422,Games,80,13741,"android.permission.READ_EXTERNAL_STORAGE
",1
423,Internet,4,106,,0
424,Multimedia,3,11,"android.permission.SET_WALLPAPER_HINTS
",1
425,Office,1,4,,0
428,Office,3,105,"android.permission.NFC
",1
429,Development,1,2,,0
430,Office,1,29,,0
431,Games,1,4,,0
432,System,1,3,,0
433,"Security,Internet",53,6429,,0
434,Office,2,52,,0
435,Navigation,2,10,"android.permission.WRITE_MEDIA_STORAGE
;android.permission.STORAGE
",2
436,Office,3,93,"android.permission.WAKE_LOCK
;android.permission.ACCESS_WIFI_STATE
;android.permission.READ_EXTERNAL_STORAGE
",3
437,Internet,1,122,"android.permission.ACCESS_WIFI_STATE
",1
438,System,1,10,,0
439,Science & Education,6,37,"android.permission.ACCESS_WIFI_STATE
",1
440,Office,2,24,,0
441,Multimedia,1,16,,0
442,Office,11,1131,"android.permission.ACCESS_WIFI_STATE
;android.permission.PERSISTENT_ACTIVITY
;android.permission.READ_CALENDAR
;android.permission.SYSTEM_ALERT_WINDOW
;android.permission.WRITE_CALENDAR
;android.permission.MANAGE_ACCOUNTS
;android.permission.READ_SYNC_SETTINGS
;android.permission.WRITE_SYNC_SETTINGS
",8
443,Science & Education,3,159,,0
444,Games,12,1438,,0
445,Science & Education,1,150,"android.permission.ACCESS_NETWORK_STATE
",1
446,Development,2,73,"android.permission.READ_EXTERNAL_STORAGE
",1
447,Navigation,10,270,"android.permission.ACCESS_MOCK_LOCATION
",1
448,Office,2,8,,0
449,Office,9,272,"android.permission.READ_EXTERNAL_STORAGE
;android.permission.ACCESS_SUPERUSER
",2
450,Science & Education,2,48,,0
451,Office,2,11,,0
452,Office,1,2,"android.permission.READ_EXTERNAL_STORAGE
",1
453,Navigation,4,242,"android.permission.ACCESS_WIFI_STATE
",1
454,Multimedia,1,4,,0
455,Internet,2,38,,0
456,Office,2,13,,0
457,Internet,4,52,,0
458,Games,2,12,"android.permission.WRITE_EXTERNAL_STORAGE
",1
459,Navigation,6,351,"android.permission.ACCESS_NETWORK_STATE
",1
460,Science & Education,2,91,"android.permission.READ_EXTERNAL_STORAGE
",1
461,Games,3,43,,0
462,Navigation,2,267,"android.permission.WAKE_LOCK
;android.permission.ACCESS_WIFI_STATE
",2
463,Games,29,3016,,0
464,Office,1,76,,0
467,Navigation,177,28776,"android.permission.WRITE_EXTERNAL_STORAGE
;android.permission.READ_LOGS
",2
468,System,1,37,,0
469,Navigation,2,17,,0
470,Internet,45,888,,0
471,Wallpaper,1,55,,0
473,System,9,1329,"android.permission.MOUNT_UNMOUNT_FILESYSTEMS
",1
474,System,25,1538,"android.permission.NFC
",1
475,Office,1,1,,0
476,Internet,4,395,,0
477,Office,3,205,,0
478,Games,1,92,"android.permission.READ_EXTERNAL_STORAGE
",1
479,Phone & SMS,14,760,"android.permission.READ_PHONE_STATE
;android.permission.GET_TASKS
",2
480,System,1,8,,0
481,Multimedia,4,38,,0
482,Internet,7,53,,0
486,System,52,708,"android.permission.MOUNT_UNMOUNT_FILESYSTEMS
;android.permission.ACCESS_SUPERUSER
;android.permission.NFC
",3
488,Phone & SMS,2,23,,0
490,System,5,326,,0
491,Internet,44,1098,,0
493,Science & Education,2,42,,0
494,Internet,1,3,,0
495,Reading,12,1441,,0
496,Internet,5,1654,"android.permission.USE_CREDENTIALS
;android.permission.READ_SYNC_SETTINGS
",2
497,Internet,16,908,,0
498,Internet,2,155,,0
499,Security,5,322,"android.permission.READ_SYNC_SETTINGS
",1
501,Internet,2,17,,0
502,Phone & SMS,21,1536,,0
503,Security,69,612,"android.permission.ACCESS_SUPERUSER
",1
505,Multimedia,1,357,,0
508,Games,1,10,"android.permission.INTERNET
;android.permission.ACCESS_NETWORK_STATE
",2
510,System,3,40,"android.permission.NFC
;android.permission.READ_EXTERNAL_STORAGE
",2
511,System,1,50,"android.permission.NFC
",1
513,Games,1,10,,0
517,Multimedia,1,20,,0
519,Internet,1,3,,0
520,Multimedia,6,130,"android.permission.WAKE_LOCK
",1
522,Office,29,468,,0
523,"Science & Education,Development",3,149,,0
526,Navigation,1,72,"android.permission.USB_PERMISSION
;android.permission.ACCESS_WIFI_STATE
",2
527,System,1,6,,0
528,Internet,27,2265,"android.permission.WRITE_SETTINGS
;android.permission.READ_SYNC_STATS
;android.permission.READ_SYNC_SETTINGS
;android.permission.WRITE_SYNC_SETTINGS
;android.permission.READ_PHONE_STATE
",5
529,Office,1,2,,0
530,Games,1,20,,0
531,Wallpaper,1,22,,0
532,Games,1,8,,0
535,Reading,4,105,,0
538,"Multimedia,Wallpaper",2,30,"android.permission.INTERNET
",1
539,Internet,2,27,,0
540,Office,3,94,,0
541,Security,1,2,,0
543,Office,2,97,"android.permission.READ_EXTERNAL_STORAGE
",1
544,Development,2,92,"android.permission.VIBRATE
",1
545,Office,2,45,,0
546,Games,1,1,,0
547,System,1,12,,0
548,Office,5,106,,0
549,Office,6,162,,0
551,Wallpaper,4,12,,0
552,"Multimedia,Office",2,5,,0
553,System,1,48,"android.permission.BIND_INPUT_METHOD
",1
554,Navigation,1,3,,0
555,Internet,1,7,"android.permission.ACCESS_NETWORK_STATE
",1
556,Wallpaper,5,205,"android.permission.READ_EXTERNAL_STORAGE
",1
557,System,1,3,,0
558,Internet,4,54,,0
559,Science & Education,1,23,,0
560,Office,1,9,,0
561,Office,1,13,"android.permission.SYSTEM_ALERT_WINDOW
;android.permission.RECEIVE_BOOT_COMPLETED
;android.permission.READ_EXTERNAL_STORAGE
",3
562,Internet,1,22,,0
563,Development,3,34,,0
565,"Office,Science & Education",1,7,,0
