fuzzy_risk,classes,functions,comment_lines,ncloc,lines,complexity,class_complexity,function_complexity,blocker_violations,critical_violations,major_violations,minor_violations,Label
0,17,73,134,1997,2499,396,23.3,5.1,0,1,121,163,0
51.11,123,1024,169,15882,18195,3609,29.3,3.4,3,11,635,523,1
15,20,78,127,1504,1967,253,12.7,3.2,0,7,178,82,0
51.11,101,673,921,9416,14511,2117,21,3.1,0,27,796,416,1
0,14,83,47,1120,1504,242,17.3,2.8,0,1,50,50,0
51.11,339,2282,2478,33196,43445,7133,21,3,2,125,1749,969,1
51.11,62,351,427,4490,6084,926,14.9,2.6,0,1,120,78,1
0,3,13,120,365,511,71,23.7,5.5,0,0,21,119,0
51.11,32,173,198,2728,4086,491,15.3,2.8,0,2,87,67,1
0,15,44,480,864,2239,192,12.8,4.4,0,0,110,22,0
0,15,91,269,1475,2209,424,28.3,4.7,0,0,436,193,0
0,18,79,28,979,1227,304,16.9,3.8,0,0,240,140,0
51.11,739,5172,7651,51826,74947,11863,16.1,2.3,0,27,2128,1206,1
51.11,41,185,1011,4380,6611,710,17.3,3.8,1,0,1112,75,1
51.11,43,245,1956,4128,7948,921,21.4,3.6,1,7,660,593,1
0,2,35,22,344,415,104,52,3,0,0,27,7,0
50,113,581,2244,7235,13232,2129,18.8,3.6,0,1,852,615,1
51.11,209,2142,5408,19771,33447,4986,23.9,2.3,0,3,1225,320,1
50,430,2359,4706,28553,46006,6113,14.2,2.6,28,13,4720,2180,1
51.11,1,31,4,318,362,66,66,2.1,0,1,41,8,1
0,6,29,36,546,834,100,16.7,3.4,0,5,114,12,0
53.33,4,13,32,193,269,40,10,1.9,0,0,15,16,1
0,16,84,224,1214,1702,209,13.1,2.5,0,3,233,89,0
51.11,28,100,75,1883,2287,304,10.9,3,0,7,208,96,1
15,15,115,201,2248,2854,405,27,3.5,0,1,307,239,0
51.11,118,674,3246,9539,19786,1587,13.4,2.3,4,5,1282,410,1
51.11,19,53,73,1313,1615,212,11.2,4,0,0,99,34,1
51.11,160,922,996,14618,19784,2824,17.7,3.1,0,8,559,397,1
0,13,65,52,1629,2313,282,21.7,4.3,0,21,194,63,0
0,1,8,17,129,170,20,20,2.5,0,0,7,3,0
0,1,1,0,9,15,1,1,1,0,0,1,0,0
0,5,20,11,183,245,26,5.2,1.3,0,0,9,7,0
50,28,212,93,4448,5400,660,23.6,3.1,0,7,597,347,1
0,14,79,121,1060,1786,181,12.9,2.3,0,2,63,205,0
51.11,63,328,367,4859,6966,972,15.4,2.9,1,7,367,217,1
51.11,10,45,201,877,1400,135,13.5,3,0,6,157,40,1
0,42,230,447,3930,5462,887,21.1,3.8,0,18,447,278,0
50,206,1345,3151,18809,28462,4742,23,3.5,3,24,2034,666,1
51.11,58,342,755,4763,7346,1036,17.9,2.8,0,18,409,261,1
51.11,24,94,329,1353,2466,207,8.6,2.2,0,1,289,147,1
0,13,72,467,1826,2506,351,27,4.9,0,4,447,378,0
0,25,90,271,867,1491,140,5.6,1.5,0,0,65,56,0
0,1,1,0,23,61,2,2,2,0,0,0,0,0
0,4,31,45,462,719,80,20,2.6,0,1,21,58,0
50,40,140,195,2067,2756,397,9.9,2.8,0,0,142,67,1
50,31,188,259,2099,3082,452,14.6,2.4,0,0,147,64,1
0,38,122,1106,1223,3624,227,6,1.9,0,3,103,92,0
0,9,25,11,428,672,83,9.2,3.3,1,1,34,33,0
0,48,260,56,4012,5100,873,18.2,3.3,0,3,354,224,0
50,53,560,2697,9810,16569,2260,42.6,4,1,2,1164,579,1
51.11,480,3380,6970,53925,75112,13824,28.8,4,9,11,2825,1879,1
51.11,273,1445,4655,20741,35025,5233,19.2,3.5,1,13,1674,1524,1
0,7,26,38,575,810,119,17,4.6,0,0,52,11,0
51.11,14,82,176,1680,2197,355,25.4,3.9,3,5,372,181,1
51.11,121,505,380,5729,8711,1093,9,2.2,0,0,913,216,1
0,1,7,2,117,137,17,17,2.4,0,1,6,117,0
0,6,26,96,546,793,78,13,3,0,0,120,432,0
50,90,483,440,8115,10544,1593,17.7,3.3,0,5,781,331,1
0,1,2,44,112,176,15,15,7.5,0,6,24,15,0
0,2,9,0,130,156,28,14,3.1,0,0,8,3,0
51.11,135,893,2946,20339,28227,4327,32.1,4.8,2,95,1845,1215,1
51.11,104,467,62,5963,7153,1103,10.6,2.4,18,8,239,71,1
50,4,18,163,373,642,111,27.8,6.2,0,0,47,39,1
30,32,266,254,3075,4171,617,19.3,2.3,0,3,325,155,0
51.11,72,433,834,6079,9761,1246,17.3,2.8,1,2,285,492,1
51.11,66,369,354,7104,10155,1544,23.4,4,9,1,422,331,1
0,22,88,307,2466,3774,570,25.9,6.4,0,8,459,109,0
0,158,782,3782,9160,19024,2139,13.5,2.7,6,6,587,787,0
51.11,18,109,25,1576,1891,313,17.4,2.6,12,2,80,63,1
51.11,9,40,155,785,987,137,15.2,3.4,0,4,178,70,1
51.11,80,415,205,6044,7536,1102,13.8,2.7,0,2,638,283,1
30,34,174,229,1963,2679,442,13,2.5,2,0,228,116,0
51.11,22,60,16,1574,1843,230,10.5,3.4,0,21,159,75,1
51.11,29,452,5078,7324,13998,2227,76.8,4.9,0,16,2774,1141,1
52.22,335,3049,7897,29695,50269,7778,23.2,2.5,18,84,5249,2791,1
0,30,98,425,2075,3379,342,11.4,3.4,0,0,68,77,0
51.11,12,30,58,778,1110,109,9.1,4.3,0,3,59,30,1
0,15,57,468,2192,2565,256,17.1,4.4,0,0,513,1526,0
51.11,227,3811,4469,32473,41829,8561,37.7,2.2,0,7,2657,1492,1
0,94,731,380,9056,11789,1987,21.1,2.7,5,5,357,344,0
0,20,116,390,1978,3227,404,20.2,3.5,0,1,170,70,0
0,34,157,22,2209,2895,422,12.4,2.7,0,1,94,98,0
0,4,18,10,188,230,27,6.8,1.5,0,0,9,49,0
0,6,33,24,499,685,64,10.7,1.9,0,0,97,18,0
50,35,184,282,2006,3249,410,11.7,2.2,0,3,129,82,1
50,187,769,2642,13114,18926,2597,13.9,3.3,0,8,914,773,1
51.11,254,1242,723,17879,26790,4313,17,3.4,62,22,1987,935,1
0,7,50,70,782,1098,148,21.1,2.5,0,0,47,9,0
0,12,52,294,1006,1792,212,17.7,3.9,0,0,56,19,0
51.11,241,977,179,14368,18814,2579,10.7,2.5,1,0,445,163,1
51.11,2,14,26,215,300,32,16,2.2,0,0,13,21,1
0,12,74,112,1569,1739,367,30.6,5,0,1,142,110,0
0,2,5,14,124,230,30,15,6,0,0,5,4,0
0,6,62,190,803,1228,173,28.8,2.8,0,0,23,16,0
0,92,479,1671,5279,9697,1364,14.8,2.8,0,2,478,128,0
0,31,178,191,3937,5243,692,22.3,3.8,0,0,354,185,0
0,33,238,1137,3635,5962,788,23.9,3.3,0,0,398,483,0
0,1,6,6,72,92,11,11,1.8,0,0,25,6,0
51.11,121,655,2458,9618,17896,1764,14.6,2.7,3,13,700,358,1
51.11,90,339,404,4941,6907,1107,12.3,3.3,0,0,594,283,1
0,16,126,50,1736,2267,315,19.7,2.4,0,0,253,38,0
0,3,12,26,239,359,40,13.3,3.1,0,0,8,13,0
51.11,2,13,69,261,406,46,23,3.5,0,1,27,17,1
0,64,363,234,4330,5769,918,14.3,2.5,0,12,562,285,0
51.11,52,263,439,3762,5107,720,13.8,2.6,0,3,233,108,1
51.11,143,584,1089,7799,13727,1397,9.8,2.2,1,49,479,335,1
51.11,41,218,535,2570,3949,582,14.2,2.6,1,3,185,144,1
51.11,18,87,163,971,1561,177,9.8,2,0,0,92,25,1
51.11,212,1596,5646,21301,37938,4657,22,2.9,3,3,659,535,1
0,8,55,142,642,1004,130,16.3,2.4,0,0,71,69,0
0,23,106,29,1579,1925,243,10.6,2.2,0,0,287,70,0
0,6,19,33,261,389,51,8.5,2.7,0,2,34,13,0
0,11,53,8,823,985,125,11.4,2.4,0,0,117,72,0
44.62,82,571,1409,11593,15680,2320,28.3,4,0,17,1951,2497,1
51.11,278,2728,6735,30608,48494,7139,25.7,2.5,0,21,2008,1111,1
0,12,63,325,763,1607,173,14.4,2.5,1,1,29,15,0
0,8,38,41,537,993,98,12.3,2.6,0,0,49,21,0
51.11,17,117,613,1731,2942,395,23.2,3.3,0,0,196,181,1
51.11,104,512,362,6273,8277,1166,11.2,2.2,0,2,144,203,1
0,3,12,19,208,300,22,7.3,1.8,0,0,9,67,0
0,1,1,0,9,15,1,1,1,0,0,1,0,0
0,9,40,46,9888,10065,171,19,4.3,0,0,43,162,0
0,1,1,2,12,36,1,1,1,0,0,0,0,0
0,7,47,132,1170,1512,158,22.6,3.4,0,5,34,110,0
51.11,53,329,383,7571,9518,1297,24.5,3.9,0,12,718,462,1
51.11,19,100,1154,1752,3400,352,18.5,3.5,0,0,301,443,1
0,21,69,42,2378,2513,431,20.5,6.2,0,0,350,443,0
51.11,7,19,135,519,862,93,13.3,4.1,1,2,117,80,1
0,11,18,0,240,339,26,2.4,1.4,0,0,2,5,0
0,20,134,527,3066,4015,397,19.9,3,0,11,320,4709,0
50.67,292,1949,4468,29095,43699,8267,28.3,4.2,5,10,6173,2059,1
0,28,144,223,1789,2683,339,12.1,2.3,0,3,213,141,0
50,82,500,607,6481,9391,1301,15.9,2.6,1,25,339,1297,1
51.11,19,88,8,901,1232,162,8.5,1.8,0,6,25,28,1
51.11,8,29,110,535,882,123,15.4,4.1,6,2,131,28,1
51.11,29,142,168,2366,3221,500,17.2,2.7,0,7,149,65,1
51.11,14,44,30,741,933,99,7.1,2.2,0,5,77,66,1
50,77,364,265,7271,9916,1610,20.9,4.4,0,4,2129,564,1
50,41,226,409,4935,6941,1061,25.9,4.6,1,9,596,197,1
51.11,69,276,361,5799,8271,727,10.5,2.6,0,0,1164,165,1
0,49,379,246,5375,6856,1465,29.9,3.9,0,8,757,197,0
51.11,36,279,103,3541,4798,674,18.7,2.2,1,0,149,145,1
0,20,140,90,1850,2348,543,27.2,3.8,1,3,353,274,0
50,76,378,792,8602,13318,1391,18.3,3.7,2,42,1516,653,1
51.11,87,555,2120,8982,14678,1873,21.5,3.4,0,4,2165,272,1
51.11,39,281,505,4889,6839,945,24.2,3.2,0,8,515,196,1
0,22,120,142,1803,2635,305,13.9,2.5,0,2,127,142,0
0,1,8,2,135,155,22,22,2.3,0,0,15,4,0
51.11,110,612,1185,12887,17135,2608,23.7,4.2,1,9,1628,364,1
0,16,69,297,1033,1879,119,7.4,1.7,0,0,27,145,0
51.11,826,7143,20799,88194,135700,23988,29,3.3,43,113,15757,7388,1
51.11,137,805,983,10983,14769,2340,17.1,2.9,1,14,642,414,1
0,4,26,155,475,816,86,21.5,3,0,4,106,56,0
51.11,30,149,104,4106,6015,847,28.2,5.7,3,0,310,246,1
51.11,16,63,99,1431,1724,265,16.6,4.2,2,8,70,39,1
0,51,490,818,6464,8574,1396,27.4,2.8,0,2,952,770,0
50,117,555,892,8209,11612,1295,11.1,2.2,0,10,713,241,1
50,473,3654,10644,37554,60881,9748,20.6,2.6,1,16,2935,1023,1
51.11,179,820,1075,19175,22873,3687,20.6,4.4,0,9,1740,531,1
51.11,40,135,278,1786,3121,315,7.9,2.3,0,5,212,94,1
0,340,2282,10986,31177,58424,6919,20.4,2.9,116,6,1340,650,0
51.11,2,18,30,176,332,42,21,2.3,0,0,3,5,1
51.11,35,167,422,2974,3950,575,16.4,3.3,0,2,364,128,1
51.11,19,60,218,1144,1656,286,15.1,4.8,0,2,166,71,1
0,13,61,286,1276,2075,240,18.5,3.8,0,7,153,247,0
51.11,11,54,16,651,856,108,9.8,1.9,0,0,32,29,1
51.11,603,3933,6506,50318,70102,10524,17.5,2.7,89,55,2480,2072,1
50,206,1469,3396,20220,31714,3860,18.7,2.6,2,0,1769,443,1
51.11,197,924,1047,10549,14925,2109,10.7,2.3,0,27,818,390,1
50,109,634,2365,10801,19139,1744,16,2.7,4,38,526,406,1
51.11,5,21,38,409,610,68,13.6,3.2,0,3,24,17,1
50,31,169,65,2923,3814,619,20,3.7,0,6,346,116,1
0,19,255,871,7433,8780,2067,108.8,8.2,1,31,1884,704,0
44.62,23,123,511,1535,2658,405,17.6,3.3,0,1,150,103,1
0,10,60,43,1573,2113,224,22.4,3.7,0,17,140,134,0
0,5,35,10,635,781,111,22.2,3.2,0,0,30,45,0
0,1,1,2,12,37,1,1,1,0,0,2,0,0
20,3,10,12,206,288,31,10.3,3.1,0,2,15,18,0
51.11,4,25,77,420,641,70,17.5,2.7,0,0,43,81,1
30,28,207,372,2252,3507,427,15.3,2,0,1,118,124,0
0,99,686,2008,9636,16471,1685,17,2.4,1,16,299,247,0
51.11,53,276,392,3701,5076,792,14.9,2.8,0,23,234,127,1
53.33,140,872,691,10217,14098,2007,14.3,2.3,0,41,815,541,1
0,3,18,2,200,300,34,11.3,1.8,0,3,8,4,0
51.11,166,1096,2924,17664,28316,3617,21.8,3.3,4,14,900,399,1
0,114,508,1871,11080,16148,2398,21,4.7,0,4,1400,1151,0
53.33,26,184,224,2398,3016,545,21,3,0,0,336,276,1
0,16,126,318,1709,2395,399,24.9,3.2,0,16,148,189,0
0,5,68,156,1243,1747,280,56,4.1,1,1,177,122,0
51.11,22,122,47,1916,2534,461,21,3.8,0,1,220,55,1
51.11,4,10,11,310,387,41,10.3,4,0,0,8,26,1
0,39,248,109,2838,3995,493,12.6,1.9,0,1,229,337,0
0,40,82,1371,1311,3817,230,5.8,2.1,0,0,115,55,0
0,1,2,0,73,118,9,9,4.5,0,0,19,1,0
51.11,14,79,25,1336,1689,246,17.6,3,1,7,86,33,1
51.11,66,338,2689,4278,11061,768,11.6,2.3,3,5,542,116,1
50,20,134,160,1299,2281,297,14.9,2.2,0,0,101,165,1
0,2,17,30,103,177,33,16.5,1.9,0,0,32,1,0
0,123,654,1820,10467,18542,1884,15.3,2.4,0,1,2149,471,0
0,5,16,25,289,412,42,8.4,2.6,0,0,14,8,0
0,4,18,51,197,305,31,7.8,1.7,0,0,22,67,0
0,6,48,68,639,846,138,23,2.9,0,0,43,17,0
0,5,24,68,250,421,43,8.6,1.8,0,0,14,13,0
51.11,4,15,47,194,322,29,7.3,1.9,0,0,23,8,1
0,209,1703,4583,15287,28373,3340,16,1.9,3,2,455,386,0
0,11,78,1038,1525,2862,312,28.4,3.8,0,2,245,462,0
51.11,25,107,350,2139,3354,334,13.4,3.1,0,0,629,64,1
51.11,12,60,58,901,1374,185,15.4,3.1,0,0,89,65,1
0,19,107,259,3045,4317,537,28.3,5,0,11,452,300,0
0,7,58,33,486,728,103,14.7,1.8,0,0,29,12,0
0,3,62,146,553,963,171,57,2.8,0,0,28,22,0
0,3,25,23,239,359,41,13.7,1.6,0,0,3,2,0
50,14,85,223,926,1311,192,13.7,2.3,0,0,99,47,1
51.11,22,106,213,1814,2308,522,23.7,4.8,5,0,282,147,1
0,2,10,21,190,284,33,16.5,2.6,0,0,8,6,0
51.11,356,1547,8057,17348,41645,3523,9.9,2.3,1,19,1319,354,1
0,5,25,67,313,517,59,11.8,2.4,0,4,55,24,0
0,8,46,55,375,646,93,11.6,2,0,0,25,11,0
51.11,1,4,9,73,120,9,9,2.3,0,0,4,2,1
51.11,56,384,415,5039,6457,1067,19.1,2.8,1,12,455,223,1
15,6,39,266,957,1611,201,33.5,5.2,0,2,171,76,0
51.11,546,4400,30836,47210,106311,12855,23.5,2.9,6,32,2431,2055,1
0,7,32,71,620,854,81,11.6,2.5,0,0,21,24,0
0,1,8,2,126,152,32,32,4,0,0,14,1,0
51.11,24,134,49,1650,2553,367,15.3,2.5,0,4,332,56,1
0,7,43,15,532,675,121,17.3,2.8,0,0,24,3,0
51.11,6,22,36,341,442,65,10.8,3,0,7,33,10,1
0,130,860,4119,8343,16697,2410,18.5,2.7,1,6,2637,1666,0
51.11,26,111,430,3102,4925,660,25.4,5.9,1,3,418,181,1
51.11,132,655,1161,9883,14712,2039,15.4,3,1,3,259,437,1
0,1,7,4,187,229,32,32,4.6,0,0,2,3,0
0,18,84,142,1681,2215,256,14.2,2.9,0,3,265,84,0
0,5,24,25,445,661,55,11,2.3,0,0,116,18,0
52,94,537,1108,8965,13421,1198,12.7,2.2,2,2,1040,11815,1
0,9,43,202,628,1087,159,17.7,3.7,0,2,85,45,0
0,32,139,325,2556,3587,432,13.5,3.1,0,0,171,100,0
51.11,74,429,289,4808,6980,1027,13.9,2.4,4,1,144,93,1
0,5,21,10,275,330,43,8.6,2,0,0,24,26,0
0,23,71,27,1412,1771,206,9,2.9,0,0,166,31,0
51.11,155,798,1169,14394,20035,2986,19.3,3.6,0,68,2221,459,1
20,82,498,531,6623,8813,1500,18.3,3,8,3,898,466,0
