fuzzy_risk,classes,functions,comment_lines,ncloc,lines,complexity,class_complexity,function_complexity,blocker_violations,critical_violations,major_violations,minor_violations,Label
20,7,34,12,540,739,106,15.1,3.1,0,5,54,8,0
0,15,73,98,1240,1599,197,13.1,2.7,0,3,112,46,0
51.11,21,140,790,1993,4398,410,19.5,2.8,0,11,68,14,1
51.11,31,328,2524,11301,16017,2343,75.6,7.1,0,1,1594,1247,1
51.11,7,27,29,393,602,87,12.4,3.2,0,0,23,7,1
0,38,281,738,3775,6183,900,23.7,3.2,1,0,499,266,0
50,101,531,989,6847,10144,1402,13.9,2.6,1,4,479,207,1
0,120,750,871,9236,13221,2193,18.3,2.9,7,7,722,516,0
0,83,368,394,7280,9054,1366,16.5,3.7,0,3,1256,273,0
51.11,20,114,383,2465,3823,374,18.7,3.2,0,7,403,511,1
51.11,46,331,2288,5686,9424,1726,37.5,5.4,1,22,671,240,1
51.11,180,1397,5072,30163,42396,6473,36,4.6,0,3,1229,938,1
0,15,59,104,831,1213,161,10.7,2.6,0,0,71,42,0
51.11,40,169,183,2286,3074,431,10.8,2.5,0,1,139,120,1
51.11,2,8,10,134,204,18,9,2.3,0,0,16,7,1
0,123,638,1796,10493,15711,2913,23.7,4.6,1,2,2289,608,0
0,45,204,270,2686,3640,423,9.4,2,0,6,191,61,0
0,25,134,506,1401,2852,331,13.2,2.5,0,2,137,59,0
51.11,322,2388,4355,42910,54639,8614,26.8,3.5,5,31,3054,1901,1
0,5,15,46,213,319,52,10.4,3.5,0,1,17,6,0
0,3,23,75,634,960,115,38.3,5,0,5,29,16,0
0,1,7,0,72,91,13,13,1.9,0,0,9,7,0
51.11,147,1091,1301,12266,16358,2921,19.9,2.6,4,6,836,434,1
0,59,391,864,5009,7339,884,15,2.3,2,2,769,1339,0
0,3,22,189,848,1366,155,51.7,6.2,0,0,238,61,0
0,167,858,2167,11533,19188,2165,13,2.5,1,2,455,584,0
0,6,49,64,470,670,116,19.3,2.3,0,0,87,95,0
51.11,64,326,147,4173,5235,795,12.4,2.4,0,8,280,205,1
50,70,360,368,3339,5077,631,9,1.7,0,0,74,114,1
0,5,24,51,513,619,90,18,3.8,0,0,31,67,0
0,57,374,2515,5668,11776,1015,17.8,2.7,9,4,417,279,0
0,30,274,1974,6121,9993,1173,39.1,4.2,1,17,1091,681,0
51.11,8,29,36,254,370,51,6.4,1.8,0,2,19,10,1
51.11,151,778,1160,13852,19382,2893,19.2,3.6,0,69,2177,429,1
0,300,2927,5035,39031,54278,9224,30.7,3.1,11,8,2227,1536,0
0,15,67,35,666,1011,118,7.9,1.8,0,0,35,20,0
51.11,59,351,1061,3611,7044,719,12.2,2,4,13,436,362,1
0,29,133,139,1740,2398,325,11.2,2.4,1,0,148,127,0
50,36,286,214,4282,5590,958,26.6,3.3,0,5,278,209,1
51.11,324,2699,7689,29281,48251,6494,20,2.4,0,28,1693,657,1
51.11,6,15,7,288,380,48,8,3.1,0,2,19,16,1
51.11,43,259,54,3170,4440,714,16.6,2.8,0,9,839,90,1
51.11,10,72,46,1447,1764,273,27.3,3.8,0,12,104,106,1
51.11,25,121,138,1655,2477,379,15.2,3,0,2,355,71,1
0,1,1,0,9,15,1,1,1,0,0,2,0,0
0,10,38,36,709,1134,100,10,2.6,0,0,69,78,0
50,7,36,39,746,1028,142,20.3,3.1,0,13,97,33,1
0,21,108,89,1536,1920,374,17.8,3.4,0,4,126,59,0
51.11,4,13,20,163,238,28,7,2.2,0,0,6,6,1
